Date,Time,Hour,NO2_Level,Day_of_Week,Season
2024-01-01,01:00:00,1,32.32,Monday,Winter
2024-01-01,02:00:00,2,21.33,Monday,Winter
2024-01-01,03:00:00,3,25.18,Monday,Winter
2024-01-01,04:00:00,4,23.47,Monday,Winter
2024-01-01,05:00:00,5,23.16,Monday,Winter
2024-01-01,06:00:00,6,16.0,Monday,Winter
2024-01-01,07:00:00,7,19.15,Monday,Winter
2024-01-01,08:00:00,8,23.78,Monday,Winter
2024-01-01,09:00:00,9,26.37,Monday,Winter
2024-01-01,10:00:00,10,24.1,Monday,Winter
2024-01-01,11:00:00,11,20.75,Monday,Winter
2024-01-01,12:00:00,12,22.94,Monday,Winter
2024-01-01,13:00:00,13,19.72,Monday,Winter
2024-01-01,14:00:00,14,21.15,Monday,Winter
2024-01-01,15:00:00,15,29.72,Monday,Winter
2024-01-01,16:00:00,16,39.7,Monday,Winter
2024-01-01,17:00:00,17,45.86,Monday,Winter
2024-01-01,18:00:00,18,51.85,Monday,Winter
2024-01-01,19:00:00,19,55.9,Monday,Winter
2024-01-01,20:00:00,20,58.04,Monday,Winter
2024-01-01,21:00:00,21,62.18,Monday,Winter
2024-01-01,22:00:00,22,59.25,Monday,Winter
2024-01-01,23:00:00,23,38.44,Monday,Winter
2024-01-01,24:00:00,24,15.38,Monday,Winter
2024-01-02,01:00:00,1,10.01,Tuesday,Winter
2024-01-02,02:00:00,2,1.98,Tuesday,Winter
2024-01-02,03:00:00,3,1.03,Tuesday,Winter
2024-01-02,04:00:00,4,0.99,Tuesday,Winter
2024-01-02,05:00:00,5,0.93,Tuesday,Winter
2024-01-02,06:00:00,6,1.53,Tuesday,Winter
2024-01-02,07:00:00,7,2.02,Tuesday,Winter
2024-01-02,08:00:00,8,2.08,Tuesday,Winter
2024-01-02,09:00:00,9,0.78,Tuesday,Winter
2024-01-02,10:00:00,10,1.23,Tuesday,Winter
2024-01-02,11:00:00,11,2.62,Tuesday,Winter
2024-01-02,12:00:00,12,2.58,Tuesday,Winter
2024-01-02,13:00:00,13,3.21,Tuesday,Winter
2024-01-02,14:00:00,14,15.42,Tuesday,Winter
2024-01-02,15:00:00,15,33.69,Tuesday,Winter
2024-01-02,16:00:00,16,43.05,Tuesday,Winter
2024-01-02,17:00:00,17,45.59,Tuesday,Winter
2024-01-02,18:00:00,18,30.94,Tuesday,Winter
2024-01-02,19:00:00,19,53.19,Tuesday,Winter
2024-01-02,20:00:00,20,47.28,Tuesday,Winter
2024-01-02,21:00:00,21,6.16,Tuesday,Winter
2024-01-02,22:00:00,22,7.01,Tuesday,Winter
2024-01-02,23:00:00,23,5.22,Tuesday,Winter
2024-01-02,24:00:00,24,2.18,Tuesday,Winter
2024-01-03,01:00:00,1,6.63,Wednesday,Winter
2024-01-03,02:00:00,2,22.57,Wednesday,Winter
2024-01-03,03:00:00,3,32.71,Wednesday,Winter
2024-01-03,04:00:00,4,2.38,Wednesday,Winter
2024-01-03,05:00:00,5,1.88,Wednesday,Winter
2024-01-03,06:00:00,6,1.48,Wednesday,Winter
2024-01-03,07:00:00,7,1.53,Wednesday,Winter
2024-01-03,08:00:00,8,1.98,Wednesday,Winter
2024-01-03,09:00:00,9,1.63,Wednesday,Winter
2024-01-03,10:00:00,10,1.83,Wednesday,Winter
2024-01-03,11:00:00,11,1.87,Wednesday,Winter
2024-01-03,12:00:00,12,3.37,Wednesday,Winter
2024-01-03,13:00:00,13,3.42,Wednesday,Winter
2024-01-03,14:00:00,14,2.73,Wednesday,Winter
2024-01-03,15:00:00,15,3.36,Wednesday,Winter
2024-01-03,16:00:00,16,3.57,Wednesday,Winter
2024-01-03,17:00:00,17,4.66,Wednesday,Winter
2024-01-03,18:00:00,18,10.29,Wednesday,Winter
2024-01-03,19:00:00,19,7.35,Wednesday,Winter
2024-01-03,20:00:00,20,9.34,Wednesday,Winter
2024-01-03,21:00:00,21,13.32,Wednesday,Winter
